Image Source,Product Description,Sku  Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Size,Length,Width,Product Description,Sku Code,Rolled Canvas White Border - Estimated Cost,Rolled Canvas White Border -  Estimated Retail,Rolled Canvas White Border - UI Retail,Rolled Canvas White Border -  TAR UI Cost,,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Black Border - UI","Rolled Canvas 2"" Black Border - Estimated Cost","Rolled Canvas 2"" Black Border - Estimated Retail","Rolled Canvas 2"" Black Border - UI Retail","Rolled Canvas 2"" Black Border - TAR UI Cost",,Product Description,Sku Code,Size Code,"Rolled Canvas with 2"" Mirrored Border - UI","Rolled Canvas 2"" Mirror Border - Estimated Cost","Rolled Canvas 2"" Mirror Border -  Estimated Retail","Rolled Canvas 2"" Mirror - UI Retail","Rolled Canvas 2"" Mirror - TAR UI Cost",,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,2:7,0.29,24 x 82,24,82,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,29,13,36,3.25,143,0.99,,0.30,6.5 x 22,6.5,22,"Canvas Giclee Print with 3"" White Border",WH,19.14,$63.80,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,33,21.78,$72.60,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,33,25.59,$85.31,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,42,16,42,4.67,304,2.11,,0.30,9.5 x 32,9.5,32,"Canvas Giclee Print with 3"" White Border",WH,26.33,$87.78,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,46,28.84,$96.14,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,46,34.00,$113.34,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,63,21,60,8.75,684,4.75,,0.30,14.25 x 48,14.25,48,"Canvas Giclee Print with 3"" White Border",WH,43.66,$145.53,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,67,46.43,$154.77,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,67,54.39,$181.30,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,70,22,60,9.17,864,6.00,,0.30,16 x 54,16,54,"Canvas Giclee Print with 3"" White Border",WH,55.44,$184.80,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,74,58.61,$195.36,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,74,66.91,$223.04,$3.01,$0.904,,
San Diego,Giclee Print on Canvas,CV,C,Custom,,,,,,,,0.30,19 x 64,19,64,"Canvas Giclee Print with 3"" White Border",WH,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,C,,,,$2.86,$0.858,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,C,,,,$3.26,$0.977,,
San Diego,Giclee Print on Canvas,CV,S,Small,42,16,42,4.67,320,2.22,,0.31,10 X 32,10,32,"Canvas Giclee Print with 3"" White Border",WH,27.72,$92.40,$2.20,$0.660,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,S,46,30.36,$101.20,$2.20,$0.660,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,S,46,35.67,$118.91,$2.59,$0.776,,
San Diego,Giclee Print on Canvas,CV,M,Medium,53,19,50,6.60,500,3.47,,0.31,12.5 X 40,12.5,40,"Canvas Giclee Print with 3"" White Border",WH,33.23,$110.77,$2.09,$0.627,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,M,57,35.74,$119.13,$2.09,$0.627,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,M,57,42.13,$140.45,$2.46,$0.739,,
San Diego,Giclee Print on Canvas,CV,L,Large,63,21,60,8.75,720,5.00,,0.31,15 X 48,15,48,"Canvas Giclee Print with 3"" White Border",WH,43.66,$145.53,$2.31,$0.693,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,L,67,46.43,$154.77,$2.31,$0.693,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,L,67,54.39,$181.30,$2.71,$0.812,,
San Diego,Giclee Print on Canvas,CV,O,Oversize,69,23,60,9.58,845,5.87,,0.31,16.25 x 52,16.25,52,"Canvas Giclee Print with 3"" White Border",WH,54.65,$182.16,$2.64,$0.792,,"Canvas Giclee Print with 2"" BlackBorder",CVBL,O,73,57.82,$192.72,$2.64,$0.792,,"Canvas Giclee Print with 2"" Mirrored Border",CVMR,O,73,66.01,$220.02,$3.01,$0.904,,
