Image Source,Product Description,Sku Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Standard Size & Maximum Custom Size,Length,Width,Estimated Cost,Rolled Paper - Estimated Retail,Rolled Paper - UI Retail,Rolled Paper - TAR UI Cost
San Diego,Giclee Print On Paper,PR,P,Petite,35,18,24,3.00,304,2.11,,0.84,16 x 19,16,19,$15.59,$51.98,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,46,27,24,4.50,525,3.65,,0.84,21 x 25,21,25,$20.49,$68.31,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,70,40,36,10.00,1216,8.44,,0.84,32 x 38,32,38,$31.19,$103.95,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,81,46,42,13.42,1628,11.31,,0.84,37 x 44,37,44,$40.10,$133.65,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,94,53,50,18.40,2193,15.23,,0.84,44 x 51,43,51,$49.63,$165.44,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.84,56 x 66.5,56,66.5,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,39,20,24,3.33,383,2.66,,0.85,18 x 21.25,18,21.25,$17.49,$58.29,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,61,35,42,10.21,924,6.42,,0.85,32.25 x 38,28,33,$27.18,$90.59,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,81,46,42,13.42,1639,11.38,,0.85,37.25 x 44,37.25,44,$40.22,$134.06,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,94,53,50,18.40,2206,15.32,,0.85,43.25 x 51,43.25,51,$49.76,$165.88,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.85,56 x 66.5,56,66,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,35,18,24,3.00,296,2.06,,0.86,16 x 18.5,16,18.5,$15.37,$51.23,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,45,28,24,4.58,495,3.44,,0.86,22 x 25.5,22,22.5,$19.82,$66.08,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,69,39,36,9.75,1184,8.22,,0.86,32 x 37,32,37,$30.74,$102.47,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,82,40,50,13.89,1672,11.61,,0.86,38 x 44,38,44,$40.59,$135.30,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,97,54,50,18.75,2340,16.25,,0.86,45 x 52,45,52,$51.22,$170.72,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.86,54.5 x 63,54.5,63,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,32,17,24,2.83,255,1.77,,0.88,15 x 17,15,17,$14.26,$47.52,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,47,27,24,4.50,550,3.82,,0.88,22 x 25,22,25,$20.94,$69.80,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,71,40,36,9.88,1238,8.59,,0.88,33 x 37.5,33,37.5,$31.41,$104.69,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,79,44,42,12.83,1554,10.79,,0.88,37 x 42,37,42,$39.11,$130.35,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,98,54,50,18.75,2379,16.52,,0.88,45.75 x 52,45.75,52,$51.61,$172.04,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,119,,,,3497,24.28,,0.88,55.5 x 63,55.5,63,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,32,17,24,2.83,248,1.72,,0.91,15 x 16.5,15,16.5,$14.03,$46.78,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,42,22,24,3.67,440,3.06,,0.91,20 x 22,20,22,$18.71,$62.37,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,63,32,36,8.00,990,6.88,,0.91,30 x 33,30,33,$28.07,$93.56,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,73,37,42,10.65,1311,9.10,,0.91,34.5 x 38,34.5,38,$35.89,$119.63,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,84,46,42,13.42,1760,12.22,,0.91,40 x 44,40,44,$44.35,$147.84,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.91,54.5 x 60,54.5,60,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,24,14,24,2.33,144,1.00,1:1,1.00,12 x 12,12,12,$10.69,$35.64,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,32,18,24,3.00,256,1.78,1:1,1.00,16 x 16,16,16,$14.26,$47.52,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,40,22,24,3.67,400,2.78,1:1,1.00,20 x 20,20,20,$17.82,$59.40,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,60,32,36,8.00,900,6.25,1:1,1.00,30 x 30,30,30,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,72,38,42,11.08,"1,296",9.00,1:1,1.00,36 x 36,36,36,$35.64,$118.80,$1.65,$0.495
San Diego,Giclee Print On Paper,PR,X,Oversize Large,80,42,42,12.25,"1,296",9.00,1:1,1.00,40 x 40,40,40,$42.24,$140.80,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:1,1.00,58 x 58,58,58,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,M,Medium,38,6,36,1.50,133,0.92,1:8.5,0.12,4 x 33.25,4,33.25,$16.93,$56.43,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,48,7,50,2.43,213,1.48,1:8.5,0.12,5 x 42.5,5,42.5,$21.38,$71.28,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,57,8,60,3.33,306,2.13,1:8.5,0.12,6 x 51,6,51,$27.27,$90.92,$1.60,$0.479
Italy,Giclee Print On Paper,PR,X,Oversize Large,67,62,24,10.33,417,2.89,1:8.5,0.12,7 x 59.5,7,59.5,$34.27,$114.24,$1.71,$0.512
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,1:8.5,0.12,8 x 68,8,68,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,M,Medium,38,8,36,2.00,192,1.33,,0.14,6 x 32,6,32,$16.93,$56.43,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,48,10,42,2.77,300,2.08,,0.14,7.5 x 40,7.5,40,$21.16,$70.54,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,64,12,60,5.00,540,3.75,,0.14,10 x 54,10,54,$30.62,$102.08,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.14,13 x 70,13,70,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,M,Medium,43,8,42,2.33,222,1.54,,0.16,6 x 37,6,37,$19.16,$63.86,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,54,10,50,3.47,345,2.40,,0.16,7.5 x 46,7.5,46,$23.83,$79.45,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,63,11,60,4.58,473,3.28,,0.16,8.25 x 51,8.75,54,$30.03,$100.09,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.16,12 x 74,12,74,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,42,8,42,2.33,216,1.50,1:6,0.17,6 x 36,6,36,$18.71,$62.37,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,49,9,50,3.13,294,2.04,1:6,0.17,7 x 42,7,42,$21.83,$72.77,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,56,10,50,3.47,384,2.67,1:6,0.17,8 x 48,8,48,$24.95,$83.16,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,63,11,60,4.58,486,3.38,1:6,0.17,9 x 54,9,54,$30.15,$100.49,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,1:6,0.17,12 x 72,12,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,38,8,36,2.00,784,1.33,,0.18,6 x 32,6,32,$16.93,$56.43,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,48,10,42,2.77,300,2.08,,0.18,7.5 x 40,7.5,40,$21.16,$70.54,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,57,11,50,3.82,432,3.00,,0.18,9 x 48,9,48,$25.39,$84.65,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,67,13,60,5.21,588,4.08,,0.18,10.5 x 56,10.5,56,$31.82,$106.07,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.18,13.5 x 72,13.5,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,36,8,36,2.00,180,1.25,,0.20,6 x 30,6,30,$16.04,$53.46,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,42,9,42,2.63,245,1.70,,0.20,7 x 35,7,35,$18.71,$62.37,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,48,10,42,2.92,320,2.22,,0.20,8 x 40,8,40,$21.38,$71.28,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,66,13,60,5.42,605,4.20,,0.20,11 x 55,11,55,$31.58,$105.27,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.20,14 x 70,14,70,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,39,10,36,2.50,224,1.56,,0.22,7 x 32,7,32,$17.37,$57.92,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,49,12,42,3.43,350,2.43,,0.22,8.75 x 40,8.75,40,$21.72,$72.39,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,59,14,50,4.69,504,3.50,,0.22,10.5 x 48,10.5,48,$26.06,$86.87,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,68,15,60,6.35,686,4.76,,0.22,12.25 x 56,12.25,56,$32.66,$108.86,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.22,16 x 73,16,73,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,41,10,36,2.50,264,1.83,,0.24,8 x 33,8,33,$18.27,$60.89,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,52,12,50,4.17,415,2.88,,0.24,10 x 41.5,10,41.5,$22.94,$76.48,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,57,13,50,4.51,506,3.51,,0.24,11 x 46,11,46,$25.39,$84.65,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,65,15,60,6.25,650,4.51,,0.24,12.5 x 52,12.5,52,$30.86,$102.88,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.24,17 x 71,17,71,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,40,10,36,2.50,256,1.78,1:4,0.25,8 x 32,8,32,$17.82,$59.40,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,50,12,42,3.50,400,2.78,1:4,0.25,10 x 40,10,40,$22.28,$74.25,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,60,14,50,4.86,576,4.00,1:4,0.25,12 x 48,12,48,$26.73,$89.10,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,70,16,60,6.67,784,5.44,1:4,0.25,14 x 56,14,56,$33.50,$111.65,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,1:4,0.25,20 x 80 ,24,96,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,38,10,36,2.50,240,1.67,,0.27,8 x 30,8,30,$16.93,$56.43,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,48,12,42,3.50,375,2.60,,0.27,10 x 37.5,10,37.5,$21.16,$70.54,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,57,14,50,4.86,540,3.75,,0.27,12 x 45,12,45,$25.39,$84.65,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,71,17,60,7.08,840,5.83,,0.27,15 x 56,15,56,$33.97,$113.25,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.27,20 x 75,20,75,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,39,11,36,2.63,255,1.77,,0.28,8.5 x 30,8.5,30,$17.15,$57.17,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,50,13,42,3.79,429,2.98,,0.28,11 x 39,11,39,$22.28,$74.25,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,58,15,50,5.12,574,3.98,,0.28,12.75 x 45,12.75,45,$25.73,$85.76,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,67,17,60,6.98,767,5.33,,0.28,14.75 x 52,14.75,52,$31.94,$106.47,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.28,19 x 67,19,67,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,27,8,24,1.33,123,0.85,2:7,0.29,6 x 20.5,6,20.5,$12.03,$40.10,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,36,10,36,2.50,218,1.51,2:7,0.29,8 x 27.25,8,27.25,$16.04,$53.46,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,53,14,50,4.86,492,3.42,2:7,0.29,12 x 41,12,41,$23.61,$78.71,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,71,18,60,7.50,872,6.06,2:7,0.29,16 x 54.5,16,54.5,$33.97,$113.25,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,2:7,0.29,22 x 75,22,75,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,29,9,24,1.42,143,0.99,,0.30,6.5 x 22,6.5,22,$12.70,$42.32,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,42,12,36,2.88,304,2.11,,0.30,9.5 x 32,9.5,32,$18.49,$61.63,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,62,16,50,5.64,684,4.75,,0.30,14.25 x 48,14.25,48,$27.73,$92.44,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,70,18,60,7.50,864,6.00,,0.30,16 x 54,16,54,$33.50,$111.65,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.30,19 x 64,19,64,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,42,12,36,3.00,320,2.22,,0.31,10 X 32,10,32,$18.71,$62.37,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,53,15,42,4.23,500,3.47,,0.31,12.5 X 40,12.5,40,$23.39,$77.96,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,63,17,50,5.90,720,5.00,,0.31,15 X 48,15,48,$28.07,$93.56,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,74,20,60,8.13,980,6.81,,0.31,17.5 x 56,17.5,56,$35.17,$117.23,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.31,22.5 x 72,22.5,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,41,12,36,3.00,310,2.15,,0.32,10 x 31,10,31,$18.27,$60.89,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,53,15,42,4.38,520,3.61,,0.32,13 x 40,13,40,$23.61,$78.71,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,64,18,50,6.08,744,5.17,,0.32,15.5 x 48,15.5,48,$28.29,$94.30,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,73,20,60,8.23,976,6.78,,0.32,17.75 x 55,17.75,55,$34.81,$116.04,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.32,23 x 71,23,71,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,40,12,36,3.00,300,2.08,1:3,0.33,10 x 30,10,30,$17.82,$59.40,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,48,14,42,4.08,432,3.00,1:3,0.33,12 x 36,12,36,$21.38,$71.28,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,64,18,50,6.25,768,5.33,1:3,0.33,16 x 48,16,48,$28.51,$95.04,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,72,24,62,10.33,972,6.75,1:3,0.33,18 x 54,18,54,$34.45,$114.84,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,1:3,0.33,24 x 72,24,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,43,13,36,3.25,352,2.44,,0.34,11 x 32,11,32,$19.16,$63.86,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,54,16,42,4.59,550,3.82,,0.34,13.75 x 40,13.75,40,$23.95,$79.82,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,65,19,50,6.42,792,5.50,,0.34,16.5 x 48,16.5,48,$28.73,$95.78,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,75,21,60,8.85,1078,7.49,,0.34,19.25 x 56,19.25,56,$36.01,$120.02,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.34,23 x 67,23,67,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,31,10,36,2.50,184,1.28,4:11.5,0.35,8 x 23,8,23,$13.81,$46.04,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,47,14,42,4.08,414,2.88,4:11.5,0.35,12 x 34.5,12,34.5,$20.94,$69.80,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,62,18,50,6.25,736,5.11,4:11.5,0.35,16 x 46,16,46,$27.62,$92.07,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,78,22,60,9.17,"1,150",7.99,4:11.5,0.35,20 x 57.5,20,57.5,$37.32,$124.41,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,4:11.5,0.35,25 x 72,25,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,38,12,36,3.00,280,1.94,2.5:7,0.36,10 x 28,10,28,$16.93,$56.43,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,36,14,36,3.50,402,2.79,2.5:7,0.36,12 x 33.5,12,33.5,$16.04,$53.46,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,57,17,50,5.90,630,4.38,2.5:7,0.36,15 x 42,15,42,$25.39,$84.65,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,76,22,60,9.17,"1,120",7.78,2.5:7,0.36,20 x 56,20,56,$36.37,$121.22,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,2.5:7,0.36,25 x 70,25,70,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,41,13,36,3.25,330,2.29,,0.37,11 x 30,11,30,$18.27,$60.89,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,52,16,42,4.67,532,3.69,,0.37,14 x 38,14,38,$23.17,$77.22,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,62,19,50,6.42,743,5.16,,0.37,16.5 x 45,16.5,45,$27.40,$91.33,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,78,23,60,9.58,1197,8.31,,0.37,21 x 57,21,57,$37.32,$124.41,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.37,27.5 x 75,27.5,75,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,44,14,36,3.50,384,2.67,3:8,0.38,12 x 32,12,32,$19.60,$65.34,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,55,17,42,4.96,600,4.17,3:8,0.38,15 x 40,15,40,$24.50,$81.68,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,66,20,50,6.94,864,6.00,3:8,0.38,18 x 48,18,48,$29.40,$98.01,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,77,23,60,9.58,"1,176",8.17,3:8,0.38,21 x 56,21,56,$36.84,$122.82,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,3:8,0.38,27 x 72,27,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,38,13,36,3.13,284,1.97,,0.39,10.5 x 27,10.5,27,$16.71,$55.69,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,56,18,42,5.10,620,4.31,,0.39,15.5 x 40,15.5,40,$24.73,$82.42,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,63,20,50,6.77,788,5.47,,0.39,17.5 x 45,17.5,45,$27.84,$92.81,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,75,23,60,9.58,1134,7.88,,0.39,21 x 54,21,54,$35.89,$119.63,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.39,28 x 72,28,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,S,Small,39,13,36,3.25,308,2.14,2:5,0.40,11 x 28,11,28,$17.37,$57.92,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,53,17,42,4.96,570,3.96,2:5,0.40,15 x 38,15,38,$23.61,$78.71,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,66,21,50,7.12,870,6.04,2:5,0.40,18.5 x 47,18.5,47,$29.40,$98.01,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,78,24,60,10.00,"1,232",8.56,2:5,0.40,22 x 56,22,56,$37.32,$124.41,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,2:5,0.40,30 x 75,30,75,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,28,10,24,1.67,156,1.08,,0.41,8 x 19.5,8,19.5,$12.25,$40.84,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,41,14,36,3.50,351,2.44,,0.41,12 x 29.25,12,29.25,$18.38,$61.26,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,55,18,42,5.25,624,4.33,,0.41,16 x 39,16,39,$24.50,$81.68,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,66,21,50,7.38,905,6.28,,0.41,19.25 x 47,19.25,47,$29.51,$98.38,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,79,25,60,10.42,1288,8.94,,0.41,23 x 56,23,56,$37.80,$126.01,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.41,30 x 73,30,73,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,24,9,24,1.50,116,0.80,,0.42,7 x 16.5,7,16.5,$10.47,$34.90,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,47,16,36,4.00,462,3.21,,0.42,14 x 33,14,33,$20.94,$69.80,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,57,19,42,5.54,680,4.72,,0.42,17 x 40,17,40,$25.39,$84.65,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,67,22,50,7.64,940,6.53,,0.42,20 x 47,20,47,$29.85,$99.50,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,80,26,60,10.73,1330,9.24,,0.42,23.75 x 56,23.75,56,$38.16,$127.20,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.42,31 x 73,31,73,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,30,11,24,1.83,189,1.31,3:7,0.43,9 x 21,9,21,$13.37,$44.55,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,40,14,36,3.50,336,2.33,3:7,0.43,12 x 28,12,28,$17.82,$59.40,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,56,19,42,5.47,653,4.54,3:7,0.43,16.75 x 39,16.75,39,$24.95,$83.16,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,69,23,50,7.81,984,6.83,3:7,0.43,20.5 x 48,20.5,48,$30.74,$102.47,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,80,26,60,10.83,"1,344",9.33,3:7,0.43,24 x 56,24,56,$38.28,$127.60,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,3:7,0.43,33 x 77,33,77,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,26,10,24,1.67,144,1.00,2:4.5,0.44,8 x 18,8,18,$11.58,$38.61,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,49,17,36,4.25,510,3.54,2:4.5,0.44,15 x 34,15,34,$21.83,$72.77,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,58,20,42,5.76,710,4.93,2:4.5,0.44,17.75 x 40,17.75,40,$25.84,$86.13,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,65,22,50,7.64,900,6.25,2:4.5,0.44,20 x 45,20,45,$28.96,$96.53,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,78,26,60,10.83,"1,296",9.00,2:4.5,0.44,24 x 54,24,54,$37.32,$124.41,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,2:4.5,0.44,32 x 72,32,72,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,29,11,24,1.83,180,1.25,,0.45,9 x 20,9,20,$12.92,$43.07,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,45,16,36,4.00,434,3.01,,0.45,14 x 31,14,31,$20.05,$66.83,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,58,20,42,5.83,720,5.00,,0.45,18 x 40,18,40,$25.84,$86.13,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,65,22,50,7.73,911,6.33,,0.45,20.25 x 45,20.25,45,$29.07,$96.90,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,84,28,60,11.67,1508,10.47,,0.45,26 x 58,26,58,$40.19,$133.98,$1.60,$0.479
Italy,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.45,31.5 x 70,31.5,70,,,$1.76,$0.528
Italy,Giclee Print On Paper,PR,P,Petite,31,12,24,2.00,213,1.48,,0.46,10 x 21.25,10,21.25,$13.92,$46.41,$1.49,$0.446
Italy,Giclee Print On Paper,PR,S,Small,50,18,36,4.50,544,3.78,,0.46,16 x 34,16,34,$22.28,$74.25,$1.49,$0.446
Italy,Giclee Print On Paper,PR,M,Medium,56,20,42,5.83,689,4.78,,0.46,18 x 38.25,18,38.25,$25.06,$83.53,$1.49,$0.446
Italy,Giclee Print On Paper,PR,L,Large,69,24,50,8.33,1029,7.14,,0.46,22 x 46.75,22,46.75,$30.63,$102.09,$1.49,$0.446
Italy,Giclee Print On Paper,PR,O,Oversize,81,28,60,11.67,1437,9.98,,0.46,26 x 55.25,26,55.25,$38.88,$129.59,$1.60,$0.479
