Image Source,Product Description,Sku Code,Size Code,Size Description,UI,Printed Substrate Length,Printed Substrate Width,Printed Substrate    Sq Ft,Image Sq In,Image Sq Ft,Ratio,Decimal Ratio,Standard Size & Maximum Custom Size,Length,Width,Estimated Cost,Rolled Paper - Estimated Retail,Rolled Paper - UI Retail,Rolled Paper - TAR UI Cost
San Diego,Giclee Print On Paper,PR,O,Oversize,76,22,60,9.17,"1,120",7.78,2.5:7,0.36,20 x 56,20,56,$36.37,$121.22,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,2.5:7,0.36,25 x 70,25,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,41,13,36,3.25,330,2.29,,0.37,11 x 30,11,30,$18.27,$60.89,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,52,16,42,4.67,532,3.69,,0.37,14 x 38,14,38,$23.17,$77.22,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,62,19,50,6.42,743,5.16,,0.37,16.5 x 45,16.5,45,$27.40,$91.33,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,78,23,60,9.58,1197,8.31,,0.37,21 x 57,21,57,$37.32,$124.41,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.37,27.5 x 75,27.5,75,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,44,14,36,3.50,384,2.67,3:8,0.38,12 x 32,12,32,$19.60,$65.34,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,55,17,42,4.96,600,4.17,3:8,0.38,15 x 40,15,40,$24.50,$81.68,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,66,20,50,6.94,864,6.00,3:8,0.38,18 x 48,18,48,$29.40,$98.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,77,23,60,9.58,"1,176",8.17,3:8,0.38,21 x 56,21,56,$36.84,$122.82,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,3:8,0.38,27 x 72,27,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,38,13,36,3.13,284,1.97,,0.39,10.5 x 27,10.5,27,$16.71,$55.69,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,56,18,42,5.10,620,4.31,,0.39,15.5 x 40,15.5,40,$24.73,$82.42,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,63,20,50,6.77,788,5.47,,0.39,17.5 x 45,17.5,45,$27.84,$92.81,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,75,23,60,9.58,1134,7.88,,0.39,21 x 54,21,54,$35.89,$119.63,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.39,28 x 72,28,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,S,Small,39,13,36,3.25,308,2.14,2:5,0.40,11 x 28,11,28,$17.37,$57.92,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,53,17,42,4.96,570,3.96,2:5,0.40,15 x 38,15,38,$23.61,$78.71,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,66,21,50,7.12,870,6.04,2:5,0.40,18.5 x 47,18.5,47,$29.40,$98.01,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,78,24,60,10.00,"1,232",8.56,2:5,0.40,22 x 56,22,56,$37.32,$124.41,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,2:5,0.40,30 x 75,30,75,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,28,10,24,1.67,156,1.08,,0.41,8 x 19.5,8,19.5,$12.25,$40.84,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,41,14,36,3.50,351,2.44,,0.41,12 x 29.25,12,29.25,$18.38,$61.26,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,55,18,42,5.25,624,4.33,,0.41,16 x 39,16,39,$24.50,$81.68,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,66,21,50,7.38,905,6.28,,0.41,19.25 x 47,19.25,47,$29.51,$98.38,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,79,25,60,10.42,1288,8.94,,0.41,23 x 56,23,56,$37.80,$126.01,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.41,30 x 73,30,73,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,24,9,24,1.50,116,0.80,,0.42,7 x 16.5,7,16.5,$10.47,$34.90,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,47,16,36,4.00,462,3.21,,0.42,14 x 33,14,33,$20.94,$69.80,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,57,19,42,5.54,680,4.72,,0.42,17 x 40,17,40,$25.39,$84.65,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,67,22,50,7.64,940,6.53,,0.42,20 x 47,20,47,$29.85,$99.50,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,80,26,60,10.73,1330,9.24,,0.42,23.75 x 56,23.75,56,$38.16,$127.20,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.42,31 x 73,31,73,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,30,11,24,1.83,189,1.31,3:7,0.43,9 x 21,9,21,$13.37,$44.55,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,40,14,36,3.50,336,2.33,3:7,0.43,12 x 28,12,28,$17.82,$59.40,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,56,19,42,5.47,653,4.54,3:7,0.43,16.75 x 39,16.75,39,$24.95,$83.16,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,69,23,50,7.81,984,6.83,3:7,0.43,20.5 x 48,20.5,48,$30.74,$102.47,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,80,26,60,10.83,"1,344",9.33,3:7,0.43,24 x 56,24,56,$38.28,$127.60,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,3:7,0.43,33 x 77,33,77,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,26,10,24,1.67,144,1.00,2:4.5,0.44,8 x 18,8,18,$11.58,$38.61,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,49,17,36,4.25,510,3.54,2:4.5,0.44,15 x 34,15,34,$21.83,$72.77,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,58,20,42,5.76,710,4.93,2:4.5,0.44,17.75 x 40,17.75,40,$25.84,$86.13,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,65,22,50,7.64,900,6.25,2:4.5,0.44,20 x 45,20,45,$28.96,$96.53,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,78,26,60,10.83,"1,296",9.00,2:4.5,0.44,24 x 54,24,54,$37.32,$124.41,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,2:4.5,0.44,32 x 72,32,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,29,11,24,1.83,180,1.25,,0.45,9 x 20,9,20,$12.92,$43.07,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,45,16,36,4.00,434,3.01,,0.45,14 x 31,14,31,$20.05,$66.83,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,58,20,42,5.83,720,5.00,,0.45,18 x 40,18,40,$25.84,$86.13,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,65,22,50,7.73,911,6.33,,0.45,20.25 x 45,20.25,45,$29.07,$96.90,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,84,28,60,11.67,1508,10.47,,0.45,26 x 58,26,58,$40.19,$133.98,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.45,31.5 x 70,31.5,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,31,12,24,2.00,213,1.48,,0.46,10 x 21.25,10,21.25,$13.92,$46.41,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,50,18,36,4.50,544,3.78,,0.46,16 x 34,16,34,$22.28,$74.25,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,56,20,42,5.83,689,4.78,,0.46,18 x 38.25,18,38.25,$25.06,$83.53,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,69,24,50,8.33,1029,7.14,,0.46,22 x 46.75,22,46.75,$30.63,$102.09,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,81,28,60,11.67,1437,9.98,,0.46,26 x 55.25,26,55.25,$38.88,$129.59,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.46,36 x 78,36,78,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,27,11,24,1.75,153,1.06,,0.47,8.5 x 18,8.5,18,$11.81,$39.35,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,47,17,36,4.25,476,3.31,,0.47,15 x 31.75,15,31.75,$20.83,$69.42,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,56,20,42,5.83,684,4.75,,0.47,18 x 38,18,38,$24.95,$83.16,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,66,23,50,8.07,956,6.64,,0.47,21.25 x 45,21.25,45,$29.51,$98.38,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,80,28,60,11.46,1377,9.56,,0.47,25.5 x 54,25.5,54,$38.04,$126.80,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.47,34 x 72,34,72,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,30,12,24,1.92,190,1.32,,0.48,9.5x20,9.5,20,$13.14,$43.81,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,47,17,36,4.31,488,3.39,,0.48,15.25 x 32,15.25,32,$21.05,$70.17,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,59,16,42,4.74,760,5.28,,0.48,19 x 40,19,40,$26.28,$87.62,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,68,24,50,8.25,1001,6.95,,0.48,21.75 x 46,21.75,46,$30.18,$100.61,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,83,29,60,11.88,1484,10.31,,0.48,26.5 x 56,26.5,56,$39.48,$131.59,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.48,33.25 x 70,33.25,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,31,12,24,2.00,205,1.42,,0.49,10 x 20.5,10,20.5,$13.59,$45.29,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,46,17,36,4.25,458,3.18,,0.49,15 x 30.5,15,30.5,$20.27,$67.57,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,58,21,42,6.13,741,5.15,,0.49,19 x 39,19,39,$25.84,$86.13,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,72,26,50,8.85,1128,7.83,,0.49,23.5 x 48,23.5,48,$31.85,$106.18,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,82,29,60,12.08,1485,10.31,,0.49,27 x 55,27,55,$39.24,$130.79,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,,0.49,34 x 70,37,70,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,30,12,24,2.00,200,1.39,1:2,0.50,10 x 20,10,20,$13.37,$44.55,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,48,18,36,4.50,512,3.56,1:2,0.50,16 x 32,16,32,$21.38,$71.28,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,60,22,42,6.42,800,5.56,1:2,0.50,20 x 40,20,40,$26.73,$89.10,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,72,26,50,9.03,1152,8.00,1:2,0.50,24 x 48,24,48,$32.08,$106.92,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,O,Oversize,84,30,60,12.50,1568,10.89,1:2,0.50,28 x 56,28,56,$40.19,$133.98,$1.60,$0.479
San Diego,Giclee Print On Paper,PR,C,Custom,,,,,,,1:2,0.50,40 x 80,40,80,,,$1.76,$0.528
San Diego,Giclee Print On Paper,PR,P,Petite,27,11,24,1.83,160,1.11,,0.51,9 x 17.75,9,17.75,$11.92,$39.72,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,S,Small,51,19,36,4.75,570,3.95,,0.51,17 x 33.5,17,33.5,$22.50,$74.99,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,L,Large,71,26,50,8.94,1116,7.75,,0.51,23.75 x 47,23.75,47,$31.52,$105.06,$1.49,$0.446
San Diego,Giclee Print On Paper,PR,M,Medium,69,31,42,9.04,1146,7.95,,0.51,29 x 39.5,29,39.5,$30.52,$101.72,$1.49,$0.446
